Quarter,Region,State,Purpose,Trips
1998 Q1,Lakes,Victoria,Business,9.7822179
1998 Q2,Lakes,Victoria,Business,42.5966141
1998 Q3,Lakes,Victoria,Business,28.5876848
1998 Q4,Lakes,Victoria,Business,26.9473938
1999 Q1,Lakes,Victoria,Business,2.9184524
1999 Q2,Lakes,Victoria,Business,20.2426382
1999 Q3,Lakes,Victoria,Business,4.3241904
1999 Q4,Lakes,Victoria,Business,1.9056419
2000 Q1,Lakes,Victoria,Business,6.8633683
2000 Q2,Lakes,Victoria,Business,2.0286119
2000 Q3,Lakes,Victoria,Business,12.5882274
2000 Q4,Lakes,Victoria,Business,9.2582932
2001 Q1,Lakes,Victoria,Business,7.1741361
2001 Q2,Lakes,Victoria,Business,15.6960386
2001 Q3,Lakes,Victoria,Business,40.6808245
2001 Q4,Lakes,Victoria,Business,12.0845217
2002 Q1,Lakes,Victoria,Business,8.332412
2002 Q2,Lakes,Victoria,Business,16.7061377
2002 Q3,Lakes,Victoria,Business,1.8933202
2002 Q4,Lakes,Victoria,Business,9.9980652
2003 Q1,Lakes,Victoria,Business,11.29656
2003 Q2,Lakes,Victoria,Business,7.702987
2003 Q3,Lakes,Victoria,Business,4.2786025
2003 Q4,Lakes,Victoria,Business,20.8847708
2004 Q1,Lakes,Victoria,Business,13.6310729
2004 Q2,Lakes,Victoria,Business,20.945672
2004 Q3,Lakes,Victoria,Business,37.7221859
2004 Q4,Lakes,Victoria,Business,9.7190778
2005 Q1,Lakes,Victoria,Business,0
2005 Q2,Lakes,Victoria,Business,23.0804019
2005 Q3,Lakes,Victoria,Business,3.8287794
2005 Q4,Lakes,Victoria,Business,13.8273268
2006 Q1,Lakes,Victoria,Business,3.623524
2006 Q2,Lakes,Victoria,Business,13.167806
2006 Q3,Lakes,Victoria,Business,20.079987
2006 Q4,Lakes,Victoria,Business,17.615025
2007 Q1,Lakes,Victoria,Business,7.969175
2007 Q2,Lakes,Victoria,Business,2.5520125
2007 Q3,Lakes,Victoria,Business,15.6645741
2007 Q4,Lakes,Victoria,Business,11.6664011
2008 Q1,Lakes,Victoria,Business,1.855788
2008 Q2,Lakes,Victoria,Business,3.2157404
2008 Q3,Lakes,Victoria,Business,24.8308739
2008 Q4,Lakes,Victoria,Business,14.7821534
2009 Q1,Lakes,Victoria,Business,3.7653153
2009 Q2,Lakes,Victoria,Business,7.2239357
2009 Q3,Lakes,Victoria,Business,0.7599032
2009 Q4,Lakes,Victoria,Business,14.5899228
2010 Q1,Lakes,Victoria,Business,20.7511402
2010 Q2,Lakes,Victoria,Business,23.573669
2010 Q3,Lakes,Victoria,Business,9.8709301
2010 Q4,Lakes,Victoria,Business,13.586348
2011 Q1,Lakes,Victoria,Business,5.1801085
2011 Q2,Lakes,Victoria,Business,5.2699872
2011 Q3,Lakes,Victoria,Business,9.4570243
2011 Q4,Lakes,Victoria,Business,7.1085134
2012 Q1,Lakes,Victoria,Business,17.5323052
2012 Q2,Lakes,Victoria,Business,9.7347641
2012 Q3,Lakes,Victoria,Business,17.0386624
2012 Q4,Lakes,Victoria,Business,14.3948403
2013 Q1,Lakes,Victoria,Business,12.2039214
2013 Q2,Lakes,Victoria,Business,7.4448377
2013 Q3,Lakes,Victoria,Business,13.0992358
2013 Q4,Lakes,Victoria,Business,15.7799838
2014 Q1,Lakes,Victoria,Business,10.8604164
2014 Q2,Lakes,Victoria,Business,20.6938635
2014 Q3,Lakes,Victoria,Business,10.5485088
2014 Q4,Lakes,Victoria,Business,16.3422113
2015 Q1,Lakes,Victoria,Business,2.6715154
2015 Q2,Lakes,Victoria,Business,21.8765657
2015 Q3,Lakes,Victoria,Business,24.9450725
2015 Q4,Lakes,Victoria,Business,10.1436352
2016 Q1,Lakes,Victoria,Business,19.686171
2016 Q2,Lakes,Victoria,Business,12.54526
2016 Q3,Lakes,Victoria,Business,15.1515514
2016 Q4,Lakes,Victoria,Business,16.3815646
2017 Q1,Lakes,Victoria,Business,19.7766611
2017 Q2,Lakes,Victoria,Business,11.3158779
2017 Q3,Lakes,Victoria,Business,20.6978502
2017 Q4,Lakes,Victoria,Business,8.5912786
1998 Q1,Lakes,Victoria,Holiday,161.1803638
1998 Q2,Lakes,Victoria,Holiday,183.8701881
1998 Q3,Lakes,Victoria,Holiday,100.4861208
1998 Q4,Lakes,Victoria,Holiday,79.8797421
1999 Q1,Lakes,Victoria,Holiday,118.2478227
1999 Q2,Lakes,Victoria,Holiday,90.607858
1999 Q3,Lakes,Victoria,Holiday,63.8069047
1999 Q4,Lakes,Victoria,Holiday,103.67991
2000 Q1,Lakes,Victoria,Holiday,169.7725677
2000 Q2,Lakes,Victoria,Holiday,97.2880117
2000 Q3,Lakes,Victoria,Holiday,60.0442553
2000 Q4,Lakes,Victoria,Holiday,108.2160931
2001 Q1,Lakes,Victoria,Holiday,175.5322185
2001 Q2,Lakes,Victoria,Holiday,119.6513084
2001 Q3,Lakes,Victoria,Holiday,52.5277855
2001 Q4,Lakes,Victoria,Holiday,101.0579101
2002 Q1,Lakes,Victoria,Holiday,179.096411
2002 Q2,Lakes,Victoria,Holiday,106.8312479
2002 Q3,Lakes,Victoria,Holiday,67.3406971
2002 Q4,Lakes,Victoria,Holiday,104.9337226
2003 Q1,Lakes,Victoria,Holiday,155.4853263
2003 Q2,Lakes,Victoria,Holiday,117.9849031
2003 Q3,Lakes,Victoria,Holiday,81.7724748
2003 Q4,Lakes,Victoria,Holiday,62.7199382
2004 Q1,Lakes,Victoria,Holiday,201.3489687
2004 Q2,Lakes,Victoria,Holiday,129.8482663
2004 Q3,Lakes,Victoria,Holiday,54.6229627
2004 Q4,Lakes,Victoria,Holiday,89.8380663
2005 Q1,Lakes,Victoria,Holiday,140.718956
2005 Q2,Lakes,Victoria,Holiday,76.5875993
2005 Q3,Lakes,Victoria,Holiday,73.9207706
2005 Q4,Lakes,Victoria,Holiday,70.2990637
2006 Q1,Lakes,Victoria,Holiday,136.865947
2006 Q2,Lakes,Victoria,Holiday,96.802805
2006 Q3,Lakes,Victoria,Holiday,71.564144
2006 Q4,Lakes,Victoria,Holiday,65.775209
2007 Q1,Lakes,Victoria,Holiday,153.8841483
2007 Q2,Lakes,Victoria,Holiday,146.4000609
2007 Q3,Lakes,Victoria,Holiday,44.2773968
2007 Q4,Lakes,Victoria,Holiday,57.4593954
2008 Q1,Lakes,Victoria,Holiday,183.9275134
2008 Q2,Lakes,Victoria,Holiday,94.6912157
2008 Q3,Lakes,Victoria,Holiday,67.5721262
2008 Q4,Lakes,Victoria,Holiday,87.0713306
2009 Q1,Lakes,Victoria,Holiday,134.4056883
2009 Q2,Lakes,Victoria,Holiday,99.2384351
2009 Q3,Lakes,Victoria,Holiday,63.2711374
2009 Q4,Lakes,Victoria,Holiday,100.743042
2010 Q1,Lakes,Victoria,Holiday,145.7412031
2010 Q2,Lakes,Victoria,Holiday,111.2728708
2010 Q3,Lakes,Victoria,Holiday,68.1782419
2010 Q4,Lakes,Victoria,Holiday,110.0040394
2011 Q1,Lakes,Victoria,Holiday,188.3144737
2011 Q2,Lakes,Victoria,Holiday,102.2419319
2011 Q3,Lakes,Victoria,Holiday,52.5081609
2011 Q4,Lakes,Victoria,Holiday,105.5413468
2012 Q1,Lakes,Victoria,Holiday,102.7328657
2012 Q2,Lakes,Victoria,Holiday,72.7371911
2012 Q3,Lakes,Victoria,Holiday,53.1819852
2012 Q4,Lakes,Victoria,Holiday,117.2508149
2013 Q1,Lakes,Victoria,Holiday,189.3601048
2013 Q2,Lakes,Victoria,Holiday,99.5003714
2013 Q3,Lakes,Victoria,Holiday,48.0198841
2013 Q4,Lakes,Victoria,Holiday,101.7181745
2014 Q1,Lakes,Victoria,Holiday,149.3215209
2014 Q2,Lakes,Victoria,Holiday,104.3730417
2014 Q3,Lakes,Victoria,Holiday,50.1557136
2014 Q4,Lakes,Victoria,Holiday,87.4183365
2015 Q1,Lakes,Victoria,Holiday,138.6641915
2015 Q2,Lakes,Victoria,Holiday,119.7419537
2015 Q3,Lakes,Victoria,Holiday,61.7552847
2015 Q4,Lakes,Victoria,Holiday,86.4737426
2016 Q1,Lakes,Victoria,Holiday,171.7671317
2016 Q2,Lakes,Victoria,Holiday,90.8534168
2016 Q3,Lakes,Victoria,Holiday,59.2383033
2016 Q4,Lakes,Victoria,Holiday,111.1502773
2017 Q1,Lakes,Victoria,Holiday,179.6857356
2017 Q2,Lakes,Victoria,Holiday,93.0408619
2017 Q3,Lakes,Victoria,Holiday,59.449394
2017 Q4,Lakes,Victoria,Holiday,145.7470507
1998 Q1,Lakes,Victoria,Other,0
1998 Q2,Lakes,Victoria,Other,0
1998 Q3,Lakes,Victoria,Other,14.2150008
1998 Q4,Lakes,Victoria,Other,1.9373184
1999 Q1,Lakes,Victoria,Other,3.9458862
1999 Q2,Lakes,Victoria,Other,5.4406007
1999 Q3,Lakes,Victoria,Other,0
1999 Q4,Lakes,Victoria,Other,0
2000 Q1,Lakes,Victoria,Other,13.7194626
2000 Q2,Lakes,Victoria,Other,10.0657989
2000 Q3,Lakes,Victoria,Other,3.70729
2000 Q4,Lakes,Victoria,Other,4.437509
2001 Q1,Lakes,Victoria,Other,4.3328776
2001 Q2,Lakes,Victoria,Other,0
2001 Q3,Lakes,Victoria,Other,0
2001 Q4,Lakes,Victoria,Other,3.4323727
2002 Q1,Lakes,Victoria,Other,6.1113623
2002 Q2,Lakes,Victoria,Other,0
2002 Q3,Lakes,Victoria,Other,3.7440958
2002 Q4,Lakes,Victoria,Other,0
2003 Q1,Lakes,Victoria,Other,6.0642299
2003 Q2,Lakes,Victoria,Other,0
2003 Q3,Lakes,Victoria,Other,0
2003 Q4,Lakes,Victoria,Other,4.1289682
2004 Q1,Lakes,Victoria,Other,7.9487711
2004 Q2,Lakes,Victoria,Other,3.6207115
2004 Q3,Lakes,Victoria,Other,1.3140945
2004 Q4,Lakes,Victoria,Other,0
2005 Q1,Lakes,Victoria,Other,0
2005 Q2,Lakes,Victoria,Other,5.3188745
2005 Q3,Lakes,Victoria,Other,7.6446769
2005 Q4,Lakes,Victoria,Other,6.0092929
2006 Q1,Lakes,Victoria,Other,9.636999
2006 Q2,Lakes,Victoria,Other,6.822372
2006 Q3,Lakes,Victoria,Other,0
2006 Q4,Lakes,Victoria,Other,6.217032
2007 Q1,Lakes,Victoria,Other,3.4389752
2007 Q2,Lakes,Victoria,Other,2.1508424
2007 Q3,Lakes,Victoria,Other,1.3713604
2007 Q4,Lakes,Victoria,Other,9.7559101
2008 Q1,Lakes,Victoria,Other,2.7609407
2008 Q2,Lakes,Victoria,Other,0
2008 Q3,Lakes,Victoria,Other,0
2008 Q4,Lakes,Victoria,Other,0
2009 Q1,Lakes,Victoria,Other,0
2009 Q2,Lakes,Victoria,Other,1.0799163
2009 Q3,Lakes,Victoria,Other,4.8988194
2009 Q4,Lakes,Victoria,Other,0
2010 Q1,Lakes,Victoria,Other,6.828584
2010 Q2,Lakes,Victoria,Other,1.5273445
2010 Q3,Lakes,Victoria,Other,0
2010 Q4,Lakes,Victoria,Other,3.9424352
2011 Q1,Lakes,Victoria,Other,0
2011 Q2,Lakes,Victoria,Other,3.3628512
2011 Q3,Lakes,Victoria,Other,12.3052084
2011 Q4,Lakes,Victoria,Other,3.498836
2012 Q1,Lakes,Victoria,Other,2.0895751
2012 Q2,Lakes,Victoria,Other,1.619033
2012 Q3,Lakes,Victoria,Other,4.2237158
2012 Q4,Lakes,Victoria,Other,5.1899057
2013 Q1,Lakes,Victoria,Other,1.0016669
2013 Q2,Lakes,Victoria,Other,1.5640712
2013 Q3,Lakes,Victoria,Other,5.52783
2013 Q4,Lakes,Victoria,Other,2.7063851
2014 Q1,Lakes,Victoria,Other,4.9219557
2014 Q2,Lakes,Victoria,Other,7.0655241
2014 Q3,Lakes,Victoria,Other,20.4236495
2014 Q4,Lakes,Victoria,Other,2.0359279
2015 Q1,Lakes,Victoria,Other,7.7728891
2015 Q2,Lakes,Victoria,Other,3.0643462
2015 Q3,Lakes,Victoria,Other,27.7683397
2015 Q4,Lakes,Victoria,Other,0
2016 Q1,Lakes,Victoria,Other,15.816873
2016 Q2,Lakes,Victoria,Other,6.273449
2016 Q3,Lakes,Victoria,Other,1.7543918
2016 Q4,Lakes,Victoria,Other,14.8180598
2017 Q1,Lakes,Victoria,Other,13.3423997
2017 Q2,Lakes,Victoria,Other,0
2017 Q3,Lakes,Victoria,Other,6.592708
2017 Q4,Lakes,Victoria,Other,8.6875576
1998 Q1,Lakes,Victoria,Visiting,40.8733098
1998 Q2,Lakes,Victoria,Visiting,19.4783717
1998 Q3,Lakes,Victoria,Visiting,54.7092415
1998 Q4,Lakes,Victoria,Visiting,33.3556601
1999 Q1,Lakes,Victoria,Visiting,27.3383972
1999 Q2,Lakes,Victoria,Visiting,18.4732723
1999 Q3,Lakes,Victoria,Visiting,29.9819507
1999 Q4,Lakes,Victoria,Visiting,54.5434907
2000 Q1,Lakes,Victoria,Visiting,47.1180224
2000 Q2,Lakes,Victoria,Visiting,51.7576723
2000 Q3,Lakes,Victoria,Visiting,42.7315286
2000 Q4,Lakes,Victoria,Visiting,44.525215
2001 Q1,Lakes,Victoria,Visiting,61.5757777
2001 Q2,Lakes,Victoria,Visiting,33.8876755
2001 Q3,Lakes,Victoria,Visiting,34.1320478
2001 Q4,Lakes,Victoria,Visiting,24.9845658
2002 Q1,Lakes,Victoria,Visiting,43.7724668
2002 Q2,Lakes,Victoria,Visiting,30.462279
2002 Q3,Lakes,Victoria,Visiting,27.0425189
2002 Q4,Lakes,Victoria,Visiting,54.8019105
2003 Q1,Lakes,Victoria,Visiting,50.0272495
2003 Q2,Lakes,Victoria,Visiting,64.7301849
2003 Q3,Lakes,Victoria,Visiting,26.7027456
2003 Q4,Lakes,Victoria,Visiting,46.4088289
2004 Q1,Lakes,Victoria,Visiting,71.0654321
2004 Q2,Lakes,Victoria,Visiting,22.4066415
2004 Q3,Lakes,Victoria,Visiting,16.2298312
2004 Q4,Lakes,Victoria,Visiting,39.2345852
2005 Q1,Lakes,Victoria,Visiting,42.6779793
2005 Q2,Lakes,Victoria,Visiting,18.7613789
2005 Q3,Lakes,Victoria,Visiting,36.7115317
2005 Q4,Lakes,Victoria,Visiting,29.6428019
2006 Q1,Lakes,Victoria,Visiting,41.693843
2006 Q2,Lakes,Victoria,Visiting,31.729558
2006 Q3,Lakes,Victoria,Visiting,21.995859
2006 Q4,Lakes,Victoria,Visiting,17.928924
2007 Q1,Lakes,Victoria,Visiting,30.6305986
2007 Q2,Lakes,Victoria,Visiting,26.82643
2007 Q3,Lakes,Victoria,Visiting,19.4696182
2007 Q4,Lakes,Victoria,Visiting,44.8562492
2008 Q1,Lakes,Victoria,Visiting,37.7318393
2008 Q2,Lakes,Victoria,Visiting,30.2578326
2008 Q3,Lakes,Victoria,Visiting,26.4324636
2008 Q4,Lakes,Victoria,Visiting,17.7252085
2009 Q1,Lakes,Victoria,Visiting,40.7816037
2009 Q2,Lakes,Victoria,Visiting,23.4599178
2009 Q3,Lakes,Victoria,Visiting,12.4557497
2009 Q4,Lakes,Victoria,Visiting,32.5187283
2010 Q1,Lakes,Victoria,Visiting,28.7779659
2010 Q2,Lakes,Victoria,Visiting,30.4487757
2010 Q3,Lakes,Victoria,Visiting,14.8413081
2010 Q4,Lakes,Victoria,Visiting,27.5149908
2011 Q1,Lakes,Victoria,Visiting,38.6736975
2011 Q2,Lakes,Victoria,Visiting,39.8492531
2011 Q3,Lakes,Victoria,Visiting,14.0065152
2011 Q4,Lakes,Victoria,Visiting,19.704629
2012 Q1,Lakes,Victoria,Visiting,50.5882529
2012 Q2,Lakes,Victoria,Visiting,45.7279108
2012 Q3,Lakes,Victoria,Visiting,41.724007
2012 Q4,Lakes,Victoria,Visiting,43.35102
2013 Q1,Lakes,Victoria,Visiting,41.2602726
2013 Q2,Lakes,Victoria,Visiting,24.3507316
2013 Q3,Lakes,Victoria,Visiting,45.6929155
2013 Q4,Lakes,Victoria,Visiting,35.925288
2014 Q1,Lakes,Victoria,Visiting,51.2993423
2014 Q2,Lakes,Victoria,Visiting,27.2216781
2014 Q3,Lakes,Victoria,Visiting,32.0510277
2014 Q4,Lakes,Victoria,Visiting,21.2462019
2015 Q1,Lakes,Victoria,Visiting,35.7638744
2015 Q2,Lakes,Victoria,Visiting,27.0246298
2015 Q3,Lakes,Victoria,Visiting,43.7953413
2015 Q4,Lakes,Victoria,Visiting,17.6353722
2016 Q1,Lakes,Victoria,Visiting,45.9243434
2016 Q2,Lakes,Victoria,Visiting,29.1687761
2016 Q3,Lakes,Victoria,Visiting,16.699308
2016 Q4,Lakes,Victoria,Visiting,37.8241754
2017 Q1,Lakes,Victoria,Visiting,34.9836714
2017 Q2,Lakes,Victoria,Visiting,91.0467322
2017 Q3,Lakes,Victoria,Visiting,31.4759822
2017 Q4,Lakes,Victoria,Visiting,26.5496169
